id_centros_educacion,centros_educacion
GSM6Q,north dade middle school
0REM9,packway middle school
1JHHL,parkview elementary school
V6XGK,rainbow park elementary school
3SFNF,c w ruckel middle school
O8SW3,niceville high school
U7NFD,kenwood school
YH02U,new heights school
OHTZM,saint marys school
9KO9L,bob graham education center
3W11G,bagdad elementary school
J6WHV,neil armstrong elementary school
09L3N,barbara goleman senior high school
LSQ1M,ben sheppard elementary school
DLIUX,7330
4DWTL,hialeah gardens elementary school
2W313,5701
VRE40,miami douglas macarthur north
MG4PL,mater academy elementary school
J8YV9,9472
T9MH8,blue lakes elementary school
EOK1V,southwest 64th street
GVFEQ,snapper creek elementary school
588JK,3060
BXW6S,olympia heights elementary school
GPREL,rockway elementary school
8PDAP,rockway middle school
4I9Y3,southwest 89th avenue
6E0CW,dan mccarty middle school
JX7R3,lawnwood elementary school
6GS2R,saint lucie elementary school
4VCTB,fort pierce central high school
8CE1O,oak hammock k-8 school
E5DGA,southport middle school
ZRXTW,treasure coast high school
HFU67,mariposa elementary school
78RJY,morningside elementary school
A962Q,weatherbee elementary school
CI0B2,white city elementary school
S6PTY,james madison middle school
CKR31,lynn university
URJYX,north military trail
ENYCI,holy comforter episcopal school
71MPB,schiller international university
3DHK7,florida solar energy center
HAPFL,florida solar energy center
CPJZ2,tiger trail
WWAC3,griffin middle school
ZJO35,john g. riley elementary school
ZEEW3,4th street
GKYNR,4th place
KBAUP,4th place
0NNFE,tennessee avenue
IQ7L3,warner way
QIKVM,tennessee avenue
8QTJB,4th street
O8RUG,edgewood jr/sr high school
LNZWL,lake underhill road
RM92I,riverview elementary school
P03UR,celebration high school
6VZOP,135th avenue north
0NF26,gretchen everhart school
NZKZD,delaura court
WORLJ,canopy drive
9RXVL,gadsden county high school
YMGM8,enterprise learning academy
H3I68,wekiva high school
T4KI2,anona elementary school
OFPDF,azalea elementary school
KNHGC,azalea middle school
AN7JK,bardmoor elementary school
MGBX8,bauder elementary school
ZWCKV,bay point elementary school
05K89,22nd street south
SFE0L,bay vista fundamental elementary school
6I8G2,bear creek elementary school
H4DW8,astoria park elementary school
03T4D,enterprise learning academy
SEUGC,ferry pass middle school
FIRVN,orange park junior high school
FG6VA,watermill south boulevard
0LNXM,keiser university
EHHXF,orange park high school
W7CPL,country bend circle north
6V6BA,country bend circle north
PWWM2,700
0G9OD,pinellas technical college
I46XS,irving and beatrice peskoe elementary school
ZWE0Z,air base elementary school
9MALA,avocado elementary school
3D4J5,calusa elementary school
C231G,15790
V1AD8,campbell drive middle school
40E5T,17990
DJ371,oliver hoover elementary school
AICI9,southwest 164th avenue
AA95U,winston park elementary school
MJKSB,oakleaf high school
PHSE6,acorn chase drive
3EIZ6,ethel koger beckham elementary school
4S9FZ,jane roberts k-8 center
BT8FQ,kendale lakes elementary school
1S6C0,4861
RC63S,kenan plaza
KJS5F,christina m eve elementary school
SKX2I,florida school for the deaf and the blind
KQ3RV,oakleaf junior high school
K5PN1,plantation oaks boulevard
LNYX6,miami sunset senior high school
35E50,howard d mcmillian junior high school
P9KDL,arvida middle school
JAS1P,coral park elementary school
NN1KZ,belen jesuit school
CNM8K,11920
0TOT3,paul w bell middle school
5R05M,1901
NE83I,w r thomas middle school
ZSISN,wesley matthews elementary school
GVSXO,southwest 131st place
K1G3U,charles r. hadley elementary school
SID4O,350
IRCF4,everglades k-8 center
22FJQ,flagami elementary school
2QAT4,miami coral park senior high school
03ZPF,ruben dario middle school
TMB26,10655
I4VI1,florida christian school
N6NHE,riveria middle school
I9E9H,saint timothy parish school
GYMDP,tropical elementary school
LCTAU,west miami middle school
6FM8M,southwest miami senior high school
JJNM4,westwood christian school
LIZZJ,miami springs senior high school
3LI4F,springview elementary school
B2FMN,51
B5ZIJ,hialeah elementary school
Q2D3B,south hialeah elementary school
EEY47,479
9U8L8,flamingo elementary school
8KR0L,259
ZN5FO,north hialeah elementary school
TKBC3,amelia earhart elementary school
Y84QK,hialeah middle school
QHFKK,6304
K35WQ,palm springs middle school
542O4,palm springs middle school
LDYWW,twin lakes elementary school
F3B5L,bethel baptist christian school
33QDG,bright elementary school
MX5AN,henry h. filer middle school
0DZBN,650
02ROY,4280
YTDDB,milam elementary school
YFBOZ,hialeah-miami lakes senior high school
VZ8GQ,palm lakes elementary school
NJGBD,ernest ward middle school
XA9XB,highpoint academy
YVCFN,saint kevin catholic school
ZKDII,12265
5VJAX,david fairchild elementary school
AOOKA,royal green elementary school
1Y4GW,south miami k-8 center
JTIJF,south miami middle school
YODLE,south miami senior high school
I9943,ponce de leon middle school
CYVLX,frances s. tucker elementary school
GQPPV,george w carver elementary school
5Q8EJ,george washington carver middle school
O8X1U,everitt middle school
XLV6K,gulf coast state college
1WP3E,jinks middle school
WAW0F,2010
NKUD0,neptune beach elementary school
3LMTY,grasp academy
YJOVH,lake lucina elementary school
6JAXG,woodland acres school
SHEVW,windy hill elementary school
SX6O9,hogan-spring glen elementary school
DT17X,greenwood middle school
FVOND,lake mary high school
V3S3I,bartram trail high school
C8LR0,creekside high school
UJPR6,fruit cove middle school
1YGOL,hickory creek elementary school
KZS2S,switzerland point middle school
4E7OT,timberlin creek elementary school
E94OR,lake mary elementary school
QTSN5,bushnell elementary school
9J4U7,viera charter school
MMXWI,stanley switlik elementary school
VQA1B,state college of florida
Q04XB,suncoast technical college
7MXVG,ponte vedra high school
BVOGM,a l mebane middle school
XSPZ8,alachua elementary school
GR667,santa fe high school
EHWU3,wildwood elementary school
GG9G8,old kings elementary
6USSE,maplewood elementary school
YOBPH,mandarin high school
L1YWD,saint joseph catholic school
6Z87D,samuel w wolfson senior high school
KPEXO,julington creek elementary school
6DPD7,cedar hills elementary school
WHV74,edward h white high school
WYW33,westside high school
W8B1L,john stockton elementary school
YERVI,stonewall jackson elementary school
2PXGC,timucuan elementary school
UNIY5,saint johns school
4DCU8,grove park elementary school
3JKCD,montclair elementary school
SR9DA,s bryan jennings elementary school
6PEFV,cherry elementary school
B6RBF,pine forest school
FT92J,tyndall school
M5YYF,rutherford high school
P0LMA,rosenwald high school
LUCKO,florida avenue
7G1XI,ippolito elementary school
1Y89F,lincoln avenue
I8KKT,storm grove middle school
NJYLF,apopka elementary school
RQTRG,south pointe elementary school
4IH9J,105 classroom building
33W41,edward w. bok academy
FWCF8,umatilla elementary school
M9Y13,village oaks lane
EM5NB,oakleaf village elementary school
P1WO1,argyle forest boulevard
CX73A,horizon academy at marion oaks
JU3KE,sunrise elementary school
EIYXQ,sarasota middle school
0L5SG,johnson university florida
J0C9G,indian river state college pruitt campus
IVNK1,walter c young middle school
ESH1C,northeast 56th place
BM0CE,indian river academy
6ZAKL,cardinal gibbons high school
RLSD8,arcola lake elementary school
FMN54,broadmoor elementary school
4R942,henry e s reeves elementary school
ZOO2R,3400
1KNW1,miami central high school
GMNF6,miami park elementary school
MTAT4,miami-dade community college - north campus
YLV1E,poinciana park elementary school
0UYAT,swift creek middle school
QLVHS,montessori school east orlando
OBGLF,florida polytechnic university
0C4M5,new river elementary school
7U62G,saint joseph catholic school
Y5AVZ,ocean park preschool
EPIIC,bartow middle school
SXPI9,bartow high school
M86Q9,summerlin academy
FUG5P,florida institute of technology
TN4S8,silverlake park drive
P2ZLQ,san carlos park elementary school
ZGFPN,fishhawk creek elementary school
AV98G,law enforcement academy
V6JJI,palmetto high school
R4VW7,fort braden school
H32QU,choctawhatchee high school
CBXWW,children's house
K3R8O,merritt brown middle school
3Q4ZR,gene witt elementary school
6YOPT,lake erie college of osteopathic medicine
6XS67,springfield elementary school
3MA2U,jackson school
DLDEU,gulfport montessori elementary school
U7TT9,saint john vianney catholic school
PEPYB,maximo elementary school
8KMPN,burns avenue
IOVYI,eastern florida state college - cocoa campus
CNGI8,heritage trails community school
WAAM7,viera high school
UAK7H,merritt island high school
5POBO,florida state university panama city
DDNI1,archbishop curley-notre dame high school
N5EJ4,harding street
BU578,school of arts and sciences
MMRKX,largo middle school
WNDYA,mildred helms elementary school
J4WE5,troy university - panama city
U7OU2,marjorie kinnan rawlings elementary school
4BGSF,bayside high school
5NL58,belleair elementary school
PPABS,blanton elementary school
0J3JD,brooker creek elementary school
DIJB9,keiser university college of golf
OLY12,naples park elementary school
SLY5T,warfield elementary school
FR9XT,southwest 95th street
7KNAT,gale place
FT9IT,north marion middle school
HL0Y9,east hill academy
VHCAU,sebastian elementary school
9XI5O,caverns road
O3G14,stetson university college of law
INH3C,eneida masses hartner elementary school
OEAFV,clem churchwell elementary school
H5BFL,dr ne roberts elementary school
5YWVP,griffin elementary school
PUUZA,jesse keen elementary school
J0UZM,kathleen elementary school
7LPCC,kathleen high school
YSJ6E,kathleen middle school
1EH6M,sleepy hill elementary school
H5C5F,sleepy hill middle school
2PXQZ,socrum elementary school
EXYVE,winston elementary school
HWE5F,auburndale high school
KDJIR,clarence boswell elementary school
5NUGG,edgar l. padgett elementary school
UJHZ5,jere l stambaugh middle school
RA2OS,lake gibson high school
TTBCG,lake gibson middle school
76I7V,lena vista elementary school
BYAL7,polk city elementary school
M0MIW,tenoroc high school
BTCUC,wendell watson elementary school
CF2UV,auburndale central elementary school
ILCDA,elbert elementary school
0RMGJ,fred g garner elementary school
3H1KO,garden grove elementary school
GTHJ7,inwood elementary school
CB8O7,walter caldwell elementary school
UMLNC,keeth elementary school
D1PK0,key biscayne elementary school
KG6CR,hilliard junior-senior high school
LD0GG,crescent city junior-senior high school
RV3C9,flagler college
OWSOE,the cushman school
9KMF3,jose de diego middle school
AXS10,young men's preparatory academy
O4DUV,1075
1TOY8,north miami beach senior high school
QOVHX,george jenkins high school
A4H31,youth drive
5MGGU,dolores s. parrott middle school
9UEQ0,miami senior high school
9DW3X,florida southwestern state college - lee campus
KN1M9,brickyard road
VHF0M,medart elementary school
46TKM,mary esther elementary school
Z2OS7,fleming island high school
GE9R1,mulrennan middle school
DPQMS,alafia elementary school
VC9SY,flagler college
EX2CM,cedar street
HRKR4,flagler college
I1ATY,flagler college tennis center
N2KVW,kate sullivan elementary school
Y2CKD,labelle high school
8ALRY,labelle middle school
EV5MN,kingdom life tabernacle preparatory academy
8F0O5,first coast technical college
ATIMW,c. k. steele - leroy collins community charter middle school
UGGRP,laurel nokomis school
3BF0K,palm beach state college - boca raton campus
TZJ4H,west gadsden middle school
X2873,greensboro elementary school
IT17Q,florida atlantic university karen slattery educational research center
V9KAN,south stewart street
KBVVK,gadsden technical institute
26V0L,carter-parramore academy
TW0F1,robert f munroe day school - main campus
A5FJV,lakewood boulevard
SYP49,tallavana christian academy
ZRS0S,pivot charter school
JBGL5,seacrest country day school
287XA,old school road
O8QWV,the villages high school
O8XYC,northwest 83rd street
Q282X,jupiter elementary school
RMZYU,havana magnet school
M6SG9,arran road
E25ZX,wakulla middle school
BBGPP,riversprings middle school
GCZRF,warrior way
062MB,riversink elementary school
JAFGZ,watergrass elementary school
FR082,saint john school
VNQFW,chattahoochee elementary school
O4LI4,garrison jones elementary
CY8O0,gretna elementary school (closed)
8G2OG,sun blaze elementary school
59MWZ,clay high school
08W3C,middleburg high school
NYS2X,southwest peach street
QGADZ,shadowlawn elementary school
1NYI3,patriot oaks academy
3DC7Y,grand avenue
BHH98,fl 206
NTXLR,q i roberts middle school
5S7BY,mary immaculate star of the sea school
YORXG,sacred heart early childhood center
5RUE0,chaires elementary school
QKH3Z,16899
FJ1KI,valrico lake advantage academy
UDDPT,woodlawn elementary school
YXRVU,westgate elementary school
T06TI,lake weir middle school
E2OE3,meigs middle school
B23C5,pryor middle school
80PN8,longwood elementary school
9VEKD,shalimar elementary school
01YDZ,pensacola state college - south santa rosa center
O8OIL,concorde career institute - miramar
OWXLL,lincoln international baccalaureate elementary magnet school for international studies
Z1LNA,dover school complex
XR8D3,david e. bailey jr. elementary school
QZBAH,dover school complex
QO3NS,holm elementary school
4993Z,longleaf elementary school
30AAP,trinitas christian school
8OAPT,embry-riddle aeronautical university
NGVPR,michael & libby johnson center for civic engagement
G5KDP,bethune-cookman university
66D3W,bethune-cookman university
RG017,palm beach school for autism
Y2MOE,florida international university at i-75
SIZSU,wellington christian school
58GE5,gee hammock lane
NHM84,pinellas juvenile detention center school
Z1QEC,valencia college school of public safety
LTA55,little river elementary school
A0KE0,cordova street
0VZ65,melbourne high school
M36LS,florida air academy
DSR8L,gateway charter high school
KDHR7,nieman avenue
94B7Q,challenger k-8 school of science and math
PM0DM,riverview high school
D0TDE,8600
TUCPP,north florida community college
LBUGT,canopy oaks elementary school
G1ZLX,astatula elementary school
LEGMD,melrose elementary school
IX2ID,emerald coast middle school
OXTJH,whispering oak elementary school
F1AD4,forest high school
2PT06,hillcrest school
O0JH1,eustis middle school
MTIOT,south lake high school
KI0C7,east ridge high school
01UUA,east ridge middle school
ASXJQ,oakland avenue charter school
OFEFP,myra terwilliger elementary school
Z38ZS,villas elementary school
I5GRK,county road 23b
JPELE,saint johns river state college
AATF2,southport elementary school
E8I2M,key largo elementary school
WT7A3,osceola middle school
K9HUU,discovery intermediate school
FOSMP,lee jackson highway
COJDP,poinciana academy of fine arts
713HA,kylea laird drive
5N0SH,main building 500
LE7IC,main building 1000
PB7G3,main building 800
11744,main building 900
XECLT,main building 700
RG72J,main building 600
88FDU,cougar path
H3PYS,governor's charter academy
PR7YU,softball field
JHF28,student drop off
2N31D,gladeview school
1ASGJ,ocean breeze elementary school
B1ONH,main access loop
ZZ6Y8,gemini elementary school
SO7JD,mossy head elementary school
SPGT6,moore haven junior-senior high school
IYUNF,moore haven elementary school
HLLPG,dr. rolando espinosa k-8 center
4IEF8,new hope christian school / calvary christian academy west campus
TRMY8,university of phoenix
ZVXT2,buchholz high school
VSQHO,c w norton elementary school
UVG7S,fort clarke middle school
DKDO9,glen springs elementary school
E1XRY,hidden oak elementary school
29W1C,lawton m chiles elementary school
HC9KN,william s talbot elementary school
3MY8J,southwest 8th street
ILQL4,central elementary school
S8IRI,calvin hunsinger school
RWR2B,sandy lane elementary school
PFCD5,campbell park elementary school
4KGVU,seminole middle school
4PDCN,seminole high school
TEFIP,carwise middle school
SIBZC,clearwater high school
B1VK6,hobe sound elementary school
8K0EF,jupiter farms elementary school
W2CU2,the pine school
4RYMD,village green elementary school
YUWUF,lost lake elementary school
2GEGS,pine ridge elementary school
JJECJ,the benjamin school
04H4Q,marion s rodgers middle school
FMTB2,east hill baptist church
611GH,ransom everglades middle school
JI6RC,west port high school
F3HD8,croton elementary school
J8PC4,lake marion creek school
447YJ,doris ross reddick elementary school
THG1V,barrington stowers drive
OW02Z,osprey park place
DZ7BU,boyette springs elementary school
KZMND,cimino elementary school
1GBTX,cypress creek elementary school
D519V,shields middle school
J1ZAY,terrell sessums elementary school
QAGKM,lindsey hopkins technical college
7YFZ2,micanopy area cooperative school
FTAO9,cedar key school
2Z4BL,matter academy
OHE9P,university of florida hastings agricultural extension
54LX1,bethune-cookman college extension
3H5B5,keene's crossing elementary school
CPYNW,2750
FYNRX,windy hill middle school
JHMWJ,saint cloud high school
8DTI4,lakeview elementary school
H4PKM,homestead senior high school
51NIT,william a chapman elementary school
U2UBD,florida city elementary school
L2B31,laura c saunders elementary school
DNASO,tynes elementary school
AMN88,doctors inlet elementary school
1RH9J,swimming pen creek elementary
C8MWA,south hamilton elementary school
1CERF,dillard street elementary school
CFSML,lakeview middle school
PHK24,collins elementary school
6MVO0,denn john middle school
PA0F8,gateway high school
HG0YT,valencia college
7NHUG,lorenzo walker technical college
EM1Y7,chestnut elementary school
2AXXM,liberty high school
UKCZ7,palmetto elementary school
159MG,sandhill elementary school
YOAZE,deerwood elementary school
PP7GI,horizon middle school
4BZH2,koa elementary school
OTAVY,poinciana high school
MW96R,reedy creek elementary school
9EIX3,sunrise elementary school
LH8DO,mason's school of music
VH7BW,fleming island elementary school
KK148,clay hill elementary school
GPQU2,j.l. wilkinson elementary school
VPDFJ,j.l. wilkinson junior high school
5FGKP,middleburg elementary school
TZVIT,orange park elementary school
Y5VLE,rm paterson elementary school
1LCNM,rideout elementary school
BE0AT,thunderbolt elementary school
XJVL7,the rock of gainesville
20U0Z,lake shore middle school
EPVW7,southwest 16th street
LQ8HR,glades central community high school
RQDHF,forest lake drive south
3UCHH,red cox drive
KUTF5,the king's academy
3WCUB,north goodman road
K2IQY,ridgeview middle school
H5V8Y,crossroads academy charter school
L09KX,land o' lakes education complex
E7MFY,connerton elementary school
U92N7,longleaf elementary school
G4SEO,palmetto elementary school
OHTZ6,pine crest preparatory school
AVXLO,stone middle school
XLGNA,okeechobee high school
I9UKX,university high school
HO71W,river springs middle school
RQJDD,manatee cove elementary school
OCUPR,university high school
YQ093,bayside high school
0H34Q,lincoln memorial middle school
QR139,florida atlantic university /broward college davie campus
STRYZ,adams street
GBQPH,berkley accelerated middle school
FG35U,berkley elementary school
LS5QB,south new york avenue
N9G1E,rosabelle w. blake academy
RFFMA,thompson elementary school
1TD40,plumora school
4VNKN,combee school
JLE8G,nova southeastern university
DYLJB,lake wales high school
D7RIS,spook hill elementary
D0G6P,hillcrest elementary school
XHG7S,polk avenue elementary school
95WJM,babson park elementary school
N73NL,mclaughlin middle school
HAO5T,clearwater's independent school
7YZB9,agribusiness and adult education center
JDJR7,w travis lofton high school
YDZXU,oak hall school
MML7I,saint david catholic school
R2MVS,skyway elementary school
WNBWW,american senior high school
75QKR,springwood elementary school
VIQT2,melrose park school
XF0VG,summers elementary school
7BMKG,niblack elementary school
EXNYX,columbia high school
Y5TSE,eastside elementary school
OEVVN,lake city middle school
K9F4Y,celebration school
SZMJJ,walden lake elementary school
BMHNH,trapnell elementary school
URLCE,trilogy school
TD480,westwood middle school
DSHPN,branford elementary school
5K7W1,branford high school
4EC02,university of north florida
KNV7P,wright elementary school
9697L,collins elementary school
Z73VR,limona elementary school
8QI6G,gordon burnett middle school
G7WOR,springhead elementary school
JGAXX,south evers street
Q2V1Y,lincoln international baccalaureate elementary magnet school for international studies
YWTOS,edward jackson marshall middle school
7IK3L,woodrow wilson elementary school
G48RT,andrew jackson elementary school
DHYNR,knights elementary school
755H0,william jennings bryan elementary school
9F016,tomlin middle school
NIRHM,cork elementary school
U68TN,dixieland school
4KKID,james w sikes elementary school
KKWHA,kingsford elementary school
7S85I,purcell elementary school
BXBD1,r. bruce wagner elementary
IZCEL,mulberry middle school
ZQ72C,mulberry senior high school
VVTSW,scott lake elementary school
RSKV3,drivers education route
K2OH2,advantage academy of hillsborough county
TXRTI,simmons career center school
UKLQ9,indiantown middle school
0IRWX,pace mill way
XCHBC,valrico elementaryschool
PVE08,buckhorn elementary school
RM3CW,gulf coast state college north bay campus
S539N,gulf coast state college - gulf/franklin campus
4ZR2T,sunrise elementary school
MN28P,heritage middle school
T92AL,buck lake elementary
CDPZV,concorde career institute - jacksonville
DF8M4,pahokee junior-senior high school
LOIF5,ron and norita davis center
TNK3F,howard w bishop middle school
PSU4Y,w a metcalfe elementary school
1MODE,chandler street
7U8FY,santa fe college downtown campus
2SSHD,carolyn beatrice parker elementary
RJKEP,atlantic coast high school
S5I1I,chet's creek elementary school
GA1EJ,chet's creek elementary school
C01M7,chet's creek elementary school
P0EJ8,chet's creek elementary school
LE4CO,chet's creek elementary school
8PULL,j. allen axson elementary school
PNBUG,the foundation academy
VLBA8,robert f munroe day school - kindergarten
IEAUT,old town elementary
OZD0X,sidney lanier center
OUZQV,dolphin park high school
U4YVK,jacksonville beach elementary
QIUQ1,102
LW1BZ,cypress lake middle/high school
9D61R,cypress lake middle/high school
88NQW,normandy school
O5ESR,heights elementary school
5B49M,lexington middle school
ZBCAU,saint patrick's preschool
TNM0W,veterans park academy for the arts
D1B7G,lehigh acres middle school
MI5AT,galaxy school
3SRQW,our pride school
6XA3A,gulliver academy
EIUGQ,everglades preparatory academy
FP723,urbe university
A8LGM,kernan middle school
JF6QO,kernan trail elementary
ZH1RA,seffner elementary school
1F8AH,southwest ocala way
2IR2U,8600
EB7B9,fienberg fisher adult school
DIZ2L,1420
H6Q6M,chain of lakes elementary
OQM49,florida southwestern state college - charlotte campus
MR0R6,ruth rains middle school
KH259,james anderson elementary school
NJD9N,dixie county high school
CK82Z,seventh-day adventist church school
V5KIC,saint pauls school
126NN,spruce creek high school
9QUO2,emma e. booker elementary school
8FXIU,first baptist church day care/kindergarten
U7XF4,heathrow elementary school
08Y5T,markham woods middle school
1BA73,warfield elementary school
XKH5S,penman road
CHFKB,englewood elementary school
88YRR,englewood high school
UMRTI,keiser university
S8279,greenfield elementary school
XPC06,2948
WY519,saint edward's school
T7OJD,vero beach high school
KPNYH,devry university
C5B3O,village academy
58YKN,carver middle school
P7H4Q,braden river elementary school
MFNFZ,braden river middle school
GA1OA,the beaches school
U32CR,miami lakes middle school
S5KHM,2002
EDA10,alimacani elementary school
SVO4S,renaissance charter school at coral springs
1S2JT,moseley elementary school
HKSWY,mellon elementary school
MDHH9,northwest 112th street
MF17S,norcrest elementary school
H45TO,northwest florida state college
SLS5V,joseph finegan elementary school
1FF5U,mayport elementary
5MGT1,palmer street
WFXO3,bluewater elementary school
6S8XY,tallahassee school of arts and science
4C5VD,apopka memorial middle school
AHG21,bear lake elementary school
SQLOT,dream lake elementary school
DSOIY,forest city elementary school
RPGIV,lake brantley high school
LTRHB,2400
U42SZ,sabal point elementary school
VAZBE,wekiva elementary school
JU8Q9,wilson elementary school
HTZRO,landmark middle school
N0DGE,sabal palm elementary school
ZDFZN,lake osprey drive
SDD2A,brentwood elementary school
1FODE,gotha middle school
04DE2,north lakeland elementary school
1Q3E2,southwest 25th street
3ZLVB,ochwilla elementary school
VEJ51,southwest 4th street
R1684,riverside school
VS2NX,cypress springs elementary school
YI4EN,vista lakes elementary school
3BZ3T,odyssey middle school
1C3FK,wauchula elementary school
Y9HNT,grady elementary school
BKPA6,atlantic christian academy
3L7ML,nautilus middle school
V3FQ6,north beach elementary school
0WSTT,gulf beaches elementary school
RUTOQ,fuguitt elementary school
O6TJ8,yeshiva toras chaim
6N2IZ,broward college
7HLQU,hans christian anderson elementary school
13AL3,dr. manuel c. barreiro elementary school early childhood center
PIA4C,coral gables senior high school
50DMW,university of central florida lake nona campus
G05OO,old dixie highway
5QQD3,joseph stilwell school ground
57OPD,epicenter at saint petersburg college
ZD0GA,sunland park elementary school
Y5MG0,windermere high school
HKDQD,lafayette high school
NMQ7I,lafayette elementary school
CI5QI,north johnson stripling road
ZJ7MT,pelican island elementary school
XQ95M,shore acres elementary school
JNRLO,ransom everglades school
T051O,locklin technical center
1NJ43,bay street northeast
WC9JQ,saint ann catholic school
TUZEG,rosarian academy
6KANN,saint juliana catholic school
9SSMZ,palm beach atlantic university
GVWZA,norwood school
R13GE,southeast 17th street
AE76I,the benjamin school
YPJQO,millennia gardens elementary school
XYPHZ,bradford high school
942EW,anclote high school
4I66O,paul r. smith middle school
SZGL3,one room middle school
JYD1Z,countryside high school
61NBA,cross bayou elementary school
YJ5Y0,marjorie k rawlings elementary school
H07AV,stephen foster elementary school
4U0N2,long branch elementary school
0WHVN,cypress creek elementary school
HIYUO,creekside middle school
IH6B5,wewahitchka elementary school
SE5HR,citrus elementary school
LG0ZK,horizon elementary school
J3HEW,medulla elementary school
JIPUD,saint paul lutheran school
PJYQY,sweetwater elementary school
LRIGJ,atlantic high school
01ASP,sugar mills elementary
5ZRVC,600
ZVQTX,port orange elementary school
2RJ6A,silver sands middle school
L6FOZ,spruce creek elementary school
WCJHW,warner christian academy
IROIX,tommie barfield elementary school
USPGX,ormond beach elementary school
2ZGZC,daytona college
EE3PK,roadman school
FPX9B,lakeland highlands junior high school
FOTBT,saint agnes church and school
1J1YR,pine ridge high school
CNJC6,pride elementary school
OIR4R,pivot charter school
QVZ2D,rochelle school of the arts
ARZ9X,palm terrace elementary school
KFHYJ,fsu coastal & marine lab
B8KES,palmer college of chiropractic
SC7K3,clearwater central catholic high school
7QHHI,doby elementary school
XROFN,ruskin elementary school
XWX7F,summerfield elementary school
Z0P4N,lawley elementary school
IKGFP,schall way
IBK6Q,clemmie ross james elementary school
DIVA7,williams ib myp middle magnet school
DURAA,gary adult high school
5YEZN,lake weir high school
C8UOW,oak road
8QUSF,florida college academy
EWYVY,gabrielle's glen pre school
5SW6N,big cypress elementary
LHAGY,a quinn jones center
BNVXO,nova southeastern university oceanographic center
RB48H,narcoossee elementary school
RN8LH,wilkonson elementary school
WWYD4,lake view elementary
8UZ1C,oak park school
LY6LK,ashton elementary school
IXL92,sarasota christian
5YM8W,saint martha's catholic school
K2LM7,joseph williams elementary school
MZGKC,abraham lincoln middle school
EADP2,eastside high school
BA07A,sarasota school for innovative studies
ELDZ4,incarnation school
45EUX,charles w duval elementary school
0P4A2,idylwild elementary school
PYWR5,dow brewer elementary school
F96L8,key west high school
G2KEI,gilmore street
3EKLL,west riverside school
4BM0M,merrill road elementary school
NIQ6Z,center montessori school
G1FH2,southwest 34th street
IQ19Y,poinciana elementary school
QU9RQ,horace o'bryant middle school
L14KF,mary sands alternative school
TG8R3,a. philip randolph career academies
HOWFE,lake minneola high school
3ZBPY,grassy lake elementary school
C9DRO,gulfview middle school
POH5W,saint ann school
K2EVJ,charger acadamy
R1A3G,oak hill elementary school
395YY,palm bay high school
0O3D7,okaloosa stemm academy
4WQ89,berean baptist church and school
FOJ1K,northwest 115th terrace
L67ZP,mill creek academy
P4Q02,pacetti bay middle school
C2YQV,wards creek elementary school
8LSL6,polk state college
W2LJ3,university of florida beef research unit
9P32H,saint johns river college
FF7BV,saint johns river college
SL0A9,frank h. peterson academies of technology
SSMPX,gregory drive elementary school
Z5U0G,jacksonville heights elementary school
JJ5EF,normandy village elementary school
HC9NV,sadie t tillis elementary school
0EYP4,school of success academy charter high school
FHNCW,holly hill school
PGHIT,zelda glazer middle school
28AWV,1220
CJ3B0,prairie view elementary school
I44QC,doral academy preparatory school
6S0LW,mater academy charter middle/high school
AFV64,florida national university
DOGEZ,palmetto ridge high school
K2FWD,corkscrew middle school
4UU79,mike davis elementary school
A2363,college lane
YWGJ0,indian river charter high school
LEVIF,pembroke pines charter school - central campus
8D7LL,sigsbee charter elementary school
5DASD,benjamin franklin k-8 center
KPQ8D,crystal lake school
Q8TD6,crystal lake middle school
9AXET,southeastern university
BCMKW,meadow park elementary school
D9AEA,rosewood magnet school
QBD60,highlands elementary school
6EAZ3,river city science academy
YD8LA,jackson memorial hospital
BUHI5,florida atlantic university - fort lauderdale campus
S9UMZ,innovation park
KC56Q,surfside middle school
AXDDD,cape coral high school
34YGP,west pines preschool
8DJ3N,julia landon college preparatory and leadership development school
BDH1V,seminole state college
V11XY,all souls catholic school
6Y6A9,holly avenue
VEEF4,goldsboro elementary school
JMQSQ,seminole high school
5I5GB,southern technical college
BU45G,millennium middle school
O5REG,idyllwilde elementary school
TUAD2,wicklow elementary school
2GCTE,seminole science charter school
DMMII,pine crest elementary school
A0UA8,liberty christian school
MDS5B,fellsmere elementary school
EQCYQ,raymond b. stewart middle school
0CYNG,lake mary preparatory school
WRSIU,palm beach state college at lake worth
J8QUH,palm beach state college at lake worth
CFLTR,business administration
VO0K1,technical laboratory
CJBAX,shenandoah elementary school
2KXHJ,shenandoah middle school
AA3YU,west homestead elementary school
HU1X1,southwest 34th street
0VYNW,tampa bay boulevard school
ZWCJ0,kissimmee middle school
AT0W9,kissimmee elementary school
HELN7,narcoossee middle school gymnasium
BLXLS,thurgood marshall fundamental middle school
MDKRB,saint josephs school
Q9E5Y,jordan school
OBW0M,melrose elementary school
BMHPE,john hopkins middle school
4GWYL,northwest elementary school
WHFZA,everglades preparatory academy
SFOGW,sergeant paul r. smith middle school
12ROU,foster elementary school
K6BHZ,dickenson elementary school
RZ7XZ,morgan woods elementary school
VKWNI,ventura elementary school
UWSY9,seventy-fourth street school
99AZ7,manatee school campus
OHNHM,curlew creek elementary school
DHO56,curlew creek elementary school
WETT3,lanier elementary school
