id_centros_entretenimiento,centros_entretenimiento
I5ZPT,Publix
RNT8J,Lakeshore Mall
N35AQ,Shopping Plaza
ZJM4J,Shopping Plaza
T194N,Shopping Plaza
QHV31,Aventura Mall
PINZG,9180
TWQSX,Titusville Mall
EM9UF,The Oaks Mall
RQ1JY,Live Oak Avenue
HRJD7,US 27
2G2EG,Tyrone Square Mall
SD0QG,Lake Square Mall
WKLHA,Port Charlotte Town Center
KT23F,Pinellas Park Square
EXA1G,Mill Creek Mall
Z3KFW,Mama Rosa's
54AWW,Merritt Square Mall
0URKT,Belk
ZNRV3,I 75
V1YJG,Factory Shops Boulevard
8LDGG,Factory Shops Boulevard
2K3XS,I 75
2CEV0,I 75
7GWCD,Factory Shops Boulevard
EZWBC,Southwest 139th Avenue
T93PD,Seminole Mall
0UOQK,Countryside Mall
D0LJ7,Avecina Urgent Care Clinic
DSLPE,Argyle Family Dentistry
7G2H4,Merchants Gate Drive
LU422,Endless Tan
HULJP,Merchants Gate Drive
T2ZE8,Crosshill Blvd
ALJ5Y,Argyle Forest Boulevard
6SR01,GNC
0GYCF,Barber Shop
P8H2D,Crosshill Blvd
IM7Z4,Old Middleburg Road South
LFWJN,Merchants Gate Drive
QO2KO,Justice
MI76C,Crosshill Blvd
F2Z3P,Crosshill Blvd
AHS9E,Crosshill Blvd
S90BC,Crosshill Blvd
TXL6C,Dollar Tree
CTLUQ,Superior Plaza
G7AVU,9680
5JN45,US 98;US 319
DWNIG,Bal Harbour Shops
1A3E9,Seminole Towne Center
XH4RG,Heritage Walk
LEHON,Saint George's Row
IX1WB,Wellington Mall
GNTYN,Grande Boulevard
UL1Z8,Eagle Ridge Drive
KXWQ9,Worth Avenue
WII8V,Worth Avenue
ZVDV7,Goodyear Auto Service Center
SN8I0,Thacker Avenue
DEWUW,Argyle Forest Boulevard
LGYBC,Santa Rosa Mall
BR3HC,Avenue G Southwest
ASXBU,Mall of the Americas
BTKHF,Hunters Oak Drive
8RZDI,Promenade Square Drive
SN4LR,Hammocks Boulevard
LH696,Southwest 169th Court
9LKIR,14790
TTF1W,Kendale Lakes Plaza
2R5O3,Higate Square
ZXJRO,Great Clips TJ Maxx Plaza
52SX0,Southwest 59th Street
5PFF7,Southwest 42nd Street
7AMRT,Panda Express
C0K6E,Southwest 134th Avenue
1XU7O,Winn-Dixie
6LDYP,Skylake Mall
GDLDW,Champion Plaza
RQCTG,Northeast 163rd Street
IXCHS,9045
WRI4J,13565
SUNYW,Grand Regency Boulevard
HXQ9L,Grand Regency Boulevard
W9EO8,Shops at Merrick Park
NZB62,10063-1 Baymeadows Ap
POWOJ,Mattress Firm
9J193,Steele Street
VEHBT,Spencer Drive
2TCTH,3913
E0V73,Publix
5P6KC,Palm Drive
8VPT1,South Tamiami Trail
XSPR2,Sarasota Square Mall
KV88V,Bliss Salon
XQJA9,Clark Road
H42BC,Auburn Court
ZPD9K,South Lockwood Ridge Road
PHZP5,Landings Boulevard
BBYJA,Versailles Street
3QWL4,Westfield Siesta Key
XSWBE,Fruitville Road
ASDJ7,East Hillsborough Avenue
F6IN9,Hillsboro Plaza
Y5PEJ,Thonotosassa Road
SDOEA,Sleepy Hill Road
53SF0,Sharon Drive
MP8J1,Maple Street
IN5SS,Plantation Square
YINLZ,dd's Discounts
KB7DN,Armstrong Boulevard
8SNBD,East Vine Street
DA8LU,Bronson Highway
LC8M2,Bronson Highway
51QF4,Westgate Plaza
OUHJX,US 98
UNZ2M,US 27
BIVAW,Woodstock Drive
QFGGU,Southchase Village
QWI83,Shoppes of Oakbrook
OXPJ0,Bluffs Square Shoppes
44SL6,Sabal Palm Shopping Center
2VN7B,Collier Boulevard
8G2HU,324
NK355,Shopping Center Drive
XHBHM,I 95
IYG5O,Colonial Promenade
T7EBK,Town Center at Boca Raton
0LTUK,Mall at University Town Center
T6VSD,Paragon Ocean Walk 10
EWUC7,Colony Square Drive
92AG5,Colony Boulevard
1NFTY,Philips Highway
XJ2OE,Volusia Mall
31O5I,Broadway's
CDIVX,415
OVN6H,Hopewell Avenue
0MO74,East Alexander Street
4CKJA,James L Redman Parkway
U59PK,East Alexander Street
EIGPE,James L Redman Parkway
ZJGUV,Today's Male
X4HBX,Sunset Harbour Shops
H4Z7G,James L Redman Parkway
XMAJK,Southwest 89th Lane
BV8R1,Gulf View Square Mall
G3EEA,Cordova Mall
W9GV3,Bartow Shopping Center
BXE51,Century 21
S4Q2K,Brandon Center
EU7QS,Clayton Mall
8E5S3,West Langford Drive
0KTJY,Tampa Premium Outlets
YRWJY,Okeechobee Boulevard
JH44K,Westland Mall
4JUQ9,Ultramont Mall
VPVTS,B&B Joint
MDT6V,West 1st Avenue
IINRE,Uleta Plaza
9P35S,Lincoln Road Mall
J1NOJ,Canton Avenue
TW2X7,430
LQKPS,Indian River Mall
7T29F,Southwest 91st Court
LNHY8,Southwest 136th Street
J7DGQ,Southwest 135th Terrace
QK8O7,Sunshine Park Mall
608DB,Centre of Tallahassee
C5GI1,Altamonte Mall
9B3OW,Palm Plaza
4F5NJ,Tommy Hilfiger
MOAQZ,Mattress Firm
HLABG,Southwest 120th Street
E2JFR,TJ Max
QRBO7,Community Drive
OGCC6,Old Military Trail
5TPSM,South Chillingworth Drive
HR6VD,Frank Street
QXH6R,The Big Apple Shopping Bazaar
DX6J6,Indian Rocks Road
R66ZC,Murdock Plaza
31IXS,Quesada Avenue
LQMA0,5th Street Southwest
L9U8L,Governor's Square Mall
6WG09,West Griflow Street
QSALE,3878
6WD58,East Fowler Avenue
FZ7CS,Providence Road
DW7HQ,Tamiami Trail South
DKK2F,Immokalee Road
RKGBM,International Plaza and Bay Street
UBLJY,International Plaza and Bay Street
ZOLEU,Corkscrew Village Lane
L6GTP,West Terry Street
HAVCI,93rd Avenue North
Q84VK,94th Avenue North
KSL1O,Lake City Mall
9EZU1,Publix Liquors
YDLXK,Lake Gray Boulevard
WUIGQ,Lake Gray Boulevard
MFY5W,26th Street West
LBPPJ,Lee's Alterations
R1BXM,Legendary Drive
107M1,Forsyth Road
XMQA2,Iglesia Cristiana lel Rebano
DLSJT,West Lancaster Road
R41N3,Pino Gelato Cafe
6QM66,Patrol Road
MHQTH,Plaza del Sol
OHUEO,Sevilla Plaza
R1A0B,Sand Lake Road
CWYI8,Sand Lake Road
9XJ46,Sand Lake Road
3O1RV,Sand Lake Road
DVXJ0,Sand Lake Road
TXXIN,Sand Lake Road
IQH6E,Sand Lake Road
PG481,Maud Street
ZYSOD,Maud Street
2J69G,Maud Street
JXCPL,University Village Shops
H2IM9,Aventura Mall
BXP53,Wekiwa Springs Road
005Z2,Westshore Plaza Mall
IAU85,Orlando Avenue
CFE3D,Orlando Avenue
P4621,Webster Avenue
K3C3T,Orlando Avenue
0XHMI,Orlando Avenue
ZK4C6,Orlando Avenue
7G23L,Beachview Avenue
LLO7A,Southwest 135th Terrace
JMSSI,Southwest 135th Terrace
B6RXG,Town Square Center
80MFA,Hudson
597V0,Kingston Drive East
4AE0Q,Kingston Drive East
D83VL,Village Square Shopping Center
7P7CG,Homestead Station
EZT7J,The Lighthouse Shoppes
IGWUB,South Valrico Road
TNA6W,Mirror Terrace Northwest
BA6QD,Freeway Insurance
TBQXI,KWIK Tax Refund
O1IV6,Southeast Plaza
WFEBZ,Brickell Smoke Shop
RQQH7,Publix
CTO3Q,Federal Highway
X65I3,Post Avenue Southwest
JPQUK,Avenue O Southwest
45SRA,Grove Avenue
41PO0,17th Street
7M3WM,Ocooee Plaza
Q9IKP,McDonald Terrace
571U8,Poinsettia Drive
JJTFQ,East Edgewood Drive
8RAI7,Reynolds Street
08YPP,Palm Beach Boulevard
POM8M,Palm Beach Boulevard
SVRVJ,Palm Beach Boulevard
95EG5,Palm Beach Boulevard
J2ZOX,Pierre Lane
KQBK1,Market Square
KSAE8,North Parsons Plaza
K89MZ,ALDI
O5MRY,Brooks Street
12B0H,Publix
ZSN8P,ALDI
7PVJ9,Mason Avenue
S4USW,Crystal River Mall
478UT,8th Avenue Drive West
QE0SV,39th Street West
J2RCO,Bayou Plaza
TZAO3,SoMo Walls
5ZB61,Foot Solutions
ZZZIE,Alpine Center
RR4TN,Florida Keys Outlet Center
O1ITK,American Eagle Outfitters
5CKRK,Southwest 58th Avenue
Q1FC4,Dyer Boulevard
CY9QE,Sand Lake Road
QSJ85,Sand Lake Road
HZM23,300
9UOAO,Peachland Boulevard
T4TNM,Quesada Avenue
M6QVL,Heritage Plaza
T58ID,Tamiami Trail
RQ9CI,International Plaza and Bay Street
LJNRV,Tour Boat Boarding
L1I9M,Titusville Mall
V15VJ,Landmark Shopping Center
V03Z8,LandMark Plaza
M0BFO,Lakeview Shopping Center
QYFHP,Carrollwood Commons
52JMW,Manatee County
VQ3JD,CocoWalk
D94VC,RK Village Plaza - Raanan Katz Shopping Center
PLTMU,Shoppes at 104
CCJL3,Bird Galloway Center
NYM0H,Centro Comercial Managua
Q0J6W,Legacy Place
AQFOG,Northlake Promenade Shoppes
BW5YO,Market Street At Heath Brook
XPK4R,Palm Beach Outlet
R1ZIW,Tin City
PD19Z,Orlando International Premium Outlet
3FHKF,European Village
LVPVE,The Grove Shoppes
VD6C0,The UPS Store #6657
JY3EK,Anchor Shops & Parking
GAK7I,Homestead Towne Square
L8W8E,Miami Design District
JK86F,Lincoln Center
048MA,Wellington Mall
X5Y4Q,Shout Supermarket
OOBVO,Chiefland Regional Shopping Center
UTD4O,Upper Buena Vista
1HPBT,ONE DAYTONA
P703I,Thrift Life
03ZY6,Natural Food Market Place
II67C,The Village at Hunter's Lake
FIHGO,Fashion Square Mall
SJ4UZ,Plaza 800
AAIRW,Shoppes of Winder Oaks
M6XPV,Concorde Plaza
4NIID,Southgate Shopping Center
MRN6H,Glengary Shoppes
EWORT,Crestwood Square
VDG8E,Middleton Downtown
83KSP,Shoppes at Paradise Pointe
MQXJI,Perry Plaza
YLXXH,Sparkman Wharf
J88FV,University Mall
7NIYB,DeSoto Square Mall
KW8EL,Brandon Town Center Drive
7K6PS,Winn-Dixie
1XGW3,Lakeview Plaza
NA6YU,Rutland Plaza
15I2J,Dezerland Park Orlando
YVHXM,The Mall at Millenia
5T9I3,Old Boynton Road
YK9VP,Old Boynton Road
3RKFE,The Mall at Wellington Green
9A8CM,Miami International Mall
BRC87,Treasure Coast Square Mall
AQL8B,Aleena Diamonds
9G6RI,Westfield Citrus Park
IDXVI,West Village Drive
LX4II,Kings Highway
EG08Q,CMX Dolphin 19 & IMAX
AAZOC,The Shops at Wiregrass
7Z4II,East Towne Center
2CEAZ,The Gardens Mall
DM8LK,Lakeland Square Mall
4SNAT,The Florida Mall
OZ8JF,Mobilezone
HAZKI,Sweets Plaza
DJZ7K,Publix
USA3H,Banana Republic
28M8P,Publix
5W24Z,Lakeshore Mall
0IKGG,Shopping Plaza
GAUPP,Shopping Plaza
36XD5,Shopping Plaza
85WZ9,Aventura Mall
ZTD2Z,9180
BE9VZ,Titusville Mall
H21JX,The Oaks Mall
EW60T,Live Oak Avenue
TUODY,US 27
AS5YD,Tyrone Square Mall
3IKVZ,Lake Square Mall
DOMZ0,Port Charlotte Town Center
OLES4,Pinellas Park Square
0FCXA,Mill Creek Mall
EVECJ,Mama Rosa's
W7DKM,Merritt Square Mall
2ZN05,Belk
P5RVM,I 75
E9TK3,Factory Shops Boulevard
SRKWT,Factory Shops Boulevard
PF3VG,I 75
6POK7,I 75
HNGWP,Factory Shops Boulevard
EARPX,Southwest 139th Avenue
B2KR2,Seminole Mall
CS4XZ,Countryside Mall
JL513,Avecina Urgent Care Clinic
TFYZV,Argyle Family Dentistry
8OLBT,Merchants Gate Drive
XGLX4,Endless Tan
TO88G,Merchants Gate Drive
7AKE0,Crosshill Blvd
8XRQ1,Argyle Forest Boulevard
3XUPZ,GNC
N6CUJ,Barber Shop
ZUZQJ,Crosshill Blvd
SCQ85,Old Middleburg Road South
VRL8R,Merchants Gate Drive
RCD4A,Justice
7FT01,Crosshill Blvd
LXB0P,Crosshill Blvd
Y1RY4,Crosshill Blvd
FAFIC,Crosshill Blvd
6CNR3,Dollar Tree
3MVB7,Superior Plaza
GYFAE,9680
ADUHL,US 98;US 319
BK1U0,Bal Harbour Shops
G4764,Seminole Towne Center
TLS04,Heritage Walk
4BWPS,Saint George's Row
EZ2F9,Wellington Mall
9Y0AL,Grande Boulevard
73CXJ,Eagle Ridge Drive
CK3BZ,Worth Avenue
F7SJM,Worth Avenue
Y552C,Goodyear Auto Service Center
44TGF,Thacker Avenue
GHAL4,Argyle Forest Boulevard
2WLJW,Santa Rosa Mall
8MIA1,Avenue G Southwest
Q04N3,Mall of the Americas
P5AGB,Hunters Oak Drive
MT0B3,Promenade Square Drive
TRF1E,Hammocks Boulevard
5SZIQ,Southwest 169th Court
FE0PL,14790
FC5AL,Kendale Lakes Plaza
9W0BQ,Higate Square
K86IO,Great Clips TJ Maxx Plaza
MLTGM,Southwest 59th Street
4494V,Southwest 42nd Street
N53ZZ,Panda Express
0V2CY,Southwest 134th Avenue
48A72,Winn-Dixie
JT1Q8,Skylake Mall
28L6Z,Bed Bath & Beyond
JV6SJ,Northeast 163rd Street
7NAFA,9045
QB23W,13565
B23VS,Grand Regency Boulevard
A31FJ,Grand Regency Boulevard
XZQ0W,Shops at Merrick Park
MCZVT,10063-1 Baymeadows Ap
202W2,Mattress Firm
8EF9A,Steele Street
FLXGM,Spencer Drive
STE14,3913
DADZM,Publix
KQ6LK,Palm Drive
ZL78T,South Tamiami Trail
LH7LL,Sarasota Square Mall
507W4,Bliss Salon
5OFR9,Clark Road
MT2G6,Auburn Court
5YRKC,South Lockwood Ridge Road
88W5J,Landings Boulevard
8GBUA,Versailles Street
0EXOJ,Westfield Siesta Key
QP27F,Fruitville Road
49MTN,East Hillsborough Avenue
BXY9D,Hillsboro Plaza
QAURK,Thonotosassa Road
J6ICW,Sleepy Hill Road
OAUIQ,Sharon Drive
7C7HT,Maple Street
SWHG7,Plantation Square
YP0MC,dd's Discounts
U63N8,Armstrong Boulevard
ZT8HP,East Vine Street
M65A5,Bronson Highway
EA39U,Bronson Highway
UXB40,Westgate Plaza
Q9EUS,US 98
DWTGH,US 27
KNRVI,Woodstock Drive
XJT09,Southchase Village
T5GV7,Shoppes of Oakbrook
FJGVD,Bluffs Square Shoppes
Q9ZD4,Sabal Palm Shopping Center
AHK6Y,Collier Boulevard
0TTET,324
70OHK,Shopping Center Drive
7ICCZ,I 95
LBVM9,Colonial Promenade
6ATQ9,Town Center at Boca Raton
V4MVL,Mall at University Town Center
6R9EO,Paragon Ocean Walk 10
L79TM,Colony Square Drive
YBGEB,Colony Boulevard
RL39P,Philips Highway
Y0MIC,Volusia Mall
ASBHH,Broadway's
LS31X,415
ZNODK,Hopewell Avenue
00NV4,East Alexander Street
AOJF9,James L Redman Parkway
SYLEL,East Alexander Street
DCQM9,James L Redman Parkway
9W7AV,Today's Male
MBQMM,Sunset Harbour Shops
DRKSZ,James L Redman Parkway
PORSN,Southwest 89th Lane
LA2QS,Gulf View Square Mall
DQ2IH,Cordova Mall
B5HTF,Bartow Shopping Center
E3N78,Century 21
0J9DO,Brandon Center
HYY8A,Clayton Mall
G6T6P,West Langford Drive
WP9Q6,Tampa Premium Outlets
7VV1U,Okeechobee Boulevard
17XVJ,Westland Mall
2D5QH,Ultramont Mall
1T6BM,B&B Joint
214NE,West 1st Avenue
NN1F8,Uleta Plaza
FFWMQ,Lincoln Road Mall
R747S,Canton Avenue
SZA65,430
DAAOB,Indian River Mall
AWGE5,Southwest 91st Court
M5EW4,Southwest 136th Street
EYZ58,Southwest 135th Terrace
EMQKQ,Sunshine Park Mall
3AH0W,Centre of Tallahassee
Q03M2,Altamonte Mall
Z1Z76,Palm Plaza
EOR0P,Tommy Hilfiger
X4R2Q,Mattress Firm
FID9H,Southwest 120th Street
4IV1R,TJ Max
QS0Q5,Community Drive
RZCRU,Old Military Trail
YJYYH,South Chillingworth Drive
0BWFY,Frank Street
FTQ38,The Big Apple Shopping Bazaar
7AGIA,Indian Rocks Road
10BX0,Murdock Plaza
MO7YO,Quesada Avenue
9WGLX,5th Street Southwest
54Y3Q,Governor's Square Mall
M7U3D,West Griflow Street
22V5X,3878
3Q25B,East Fowler Avenue
UKU52,Providence Road
IXQ8T,Tamiami Trail South
AVO3F,Immokalee Road
GGDR6,International Plaza and Bay Street
S02VI,International Plaza and Bay Street
G2ZT3,Corkscrew Village Lane
U17A0,West Terry Street
VCM8K,93rd Avenue North
GA03I,94th Avenue North
0WPP5,Lake City Mall
I90DW,Publix Liquors
A8ILE,Lake Gray Boulevard
JMJ89,Lake Gray Boulevard
F18ZW,26th Street West
1GUUH,Lee's Alterations
02BHB,Legendary Drive
KGRNS,Forsyth Road
RUH0I,Iglesia Cristiana lel Rebano
4PNYH,West Lancaster Road
NMCCW,Pino Gelato Cafe
0YG2O,Patrol Road
C9HRR,Plaza del Sol
S8A1Z,Sevilla Plaza
MEC7K,Sand Lake Road
8SCTS,Sand Lake Road
WTPJW,Sand Lake Road
IV03J,Sand Lake Road
PSI7W,Sand Lake Road
FHOLC,Sand Lake Road
8O2XQ,Sand Lake Road
2AML9,Maud Street
QVP61,Maud Street
XA8MG,Maud Street
0LUN5,University Village Shops
9ZTDZ,Aventura Mall
3FL8C,Wekiwa Springs Road
KU97F,Westshore Plaza Mall
9XQCO,Orlando Avenue
WRSTB,Orlando Avenue
BE1LV,Webster Avenue
6HO37,Orlando Avenue
DPIVU,Orlando Avenue
NZN6J,Orlando Avenue
ER1RD,Beachview Avenue
7JNKO,Southwest 135th Terrace
AD2LV,Southwest 135th Terrace
MPGN6,Town Square Center
MJUFW,Hudson
0FL1N,Kingston Drive East
V4E7W,Kingston Drive East
Q9H26,Village Square Shopping Center
OEZZE,Homestead Station
7INK4,The Lighthouse Shoppes
ISX21,South Valrico Road
ZUCWJ,Mirror Terrace Northwest
WBF1P,Freeway Insurance
PNO71,KWIK Tax Refund
G8DSM,Southeast Plaza
CDP4A,Brickell Smoke Shop
1D39A,Publix
RT6VR,Federal Highway
0TU5O,Post Avenue Southwest
FXPZK,Avenue O Southwest
X94VM,Grove Avenue
ODA0Q,17th Street
NSZ6E,Ocooee Plaza
3VHTG,McDonald Terrace
STTXZ,Poinsettia Drive
PWEWP,East Edgewood Drive
PD4VQ,Reynolds Street
4YP28,Palm Beach Boulevard
Z95MZ,Palm Beach Boulevard
Y0C1T,Palm Beach Boulevard
V7HYY,Palm Beach Boulevard
AF8U3,Pierre Lane
VG1W6,Market Square
503OH,North Parsons Plaza
NMJQ7,ALDI
C2GH0,Brooks Street
SW5BY,Publix
0C33R,ALDI
MP7S5,Mason Avenue
4HFD2,Crystal River Mall
AYAQ9,8th Avenue Drive West
VLX3N,39th Street West
V0PCQ,Bayou Plaza
BMWLG,SoMo Walls
2M5YD,Foot Solutions
4REEB,Alpine Center
PCVGR,Florida Keys Outlet Center
H00X0,American Eagle Outfitters
EU9ZE,Southwest 58th Avenue
CC6SG,Dyer Boulevard
K96EU,Sand Lake Road
WGT3L,Sand Lake Road
7PGKN,300
XCJLG,Peachland Boulevard
G02SX,Quesada Avenue
BNU0W,Heritage Plaza
OQCSS,Tamiami Trail
DB2SY,International Plaza and Bay Street
ZZ8DF,Tour Boat Boarding
DX4Y3,Titusville Mall
2OOMO,Landmark Shopping Center
RM6WP,LandMark Plaza
8HO07,Lakeview Shopping Center
YR7D0,Carrollwood Commons
ACTZA,Manatee County
GC2XM,CocoWalk
KEEFE,RK Village Plaza - Raanan Katz Shopping Center
O6Z8V,Shoppes at 104
FXFYJ,Bird Galloway Center
QT4I4,Centro Comercial Managua
7YTCD,Legacy Place
ZCVOJ,Northlake Promenade Shoppes
U5QAD,Market Street At Heath Brook
O5BBE,Palm Beach Outlet
QG56G,Tin City
329CA,Orlando International Premium Outlet
DS7Y9,European Village
49Y7Q,The Grove Shoppes
SKPYJ,The UPS Store #6657
9Y9HD,Anchor Shops & Parking
0RL5P,Homestead Towne Square
HE73F,Miami Design District
L9WRL,Lincoln Center
INYXC,Wellington Mall
Y868B,Shout Supermarket
PDL2F,Chiefland Regional Shopping Center
TYIQV,Upper Buena Vista
EEN41,ONE DAYTONA
2CC6V,Thrift Life
W73AD,Natural Food Market Place
7VW37,The Village at Hunter's Lake
XLBVU,Fashion Square Mall
90VH6,Plaza 800
PDKP0,Shoppes of Winder Oaks
U9QNM,Concorde Plaza
63IZK,Southgate Shopping Center
0FRKS,Glengary Shoppes
M83U5,Crestwood Square
T42UZ,Middleton Downtown
E928R,Shoppes at Paradise Pointe
YR1Y5,Perry Plaza
Q8H8X,Sparkman Wharf
IT7Z1,University Mall
JCRH7,DeSoto Square Mall
MO2J8,Brandon Town Center Drive
IFK60,Winn-Dixie
F0DX9,Lakeview Plaza
C30CQ,Rutland Plaza
1BRHO,Dezerland Park Orlando
1VNEA,The Mall at Millenia
1XAU3,Old Boynton Road
XTPZ9,Old Boynton Road
9T5SA,The Mall at Wellington Green
288QC,Miami International Mall
VMOUM,Treasure Coast Square Mall
CYVHT,Aleena Diamonds
M09I5,Westfield Citrus Park
D8T8N,West Village Drive
3W7EW,Kings Highway
FUFTF,CMX Dolphin 19 & IMAX
V9356,The Shops at Wiregrass
NPF9O,East Towne Center
FB2S8,The Gardens Mall
CNND7,Lakeland Square Mall
JFVPT,The Florida Mall
IESRR,Mobilezone
RXKJP,Sweets Plaza
PDQWE,Publix
U45I7,Banana Republic
076FH,Publix
6ZS27,Lakeshore Mall
BEGD7,Shopping Plaza
S89TZ,Shopping Plaza
SUDC7,Shopping Plaza
GIP3L,Aventura Mall
TXT5Z,9180
28X2E,Titusville Mall
97HCJ,The Oaks Mall
AN8LD,Live Oak Avenue
OT1CS,US 27
6ESBY,Tyrone Square Mall
EJDLD,Lake Square Mall
M2MVH,Port Charlotte Town Center
UWYKP,Pinellas Park Square
0IXRR,Mill Creek Mall
Z7YY1,Mama Rosa's
AKS92,Merritt Square Mall
EEWO3,Belk
24J05,I 75
C4YDF,Factory Shops Boulevard
SKT42,Factory Shops Boulevard
8VZQ6,I 75
O3D48,I 75
0LPWU,Factory Shops Boulevard
E3RUM,Southwest 139th Avenue
EVQWL,Seminole Mall
426NS,Countryside Mall
CXBMF,Avecina Urgent Care Clinic
CNFKV,Argyle Family Dentistry
V18Y2,Merchants Gate Drive
DPS4F,Endless Tan
4B2U0,Merchants Gate Drive
L38NK,Crosshill Blvd
67AV7,Argyle Forest Boulevard
MPUZL,GNC
VAYAX,Barber Shop
9BMFG,Crosshill Blvd
HME6F,Old Middleburg Road South
NQEET,Merchants Gate Drive
CJNW5,Justice
CZ4KB,Crosshill Blvd
V5K72,Crosshill Blvd
451VN,Crosshill Blvd
JMISE,Crosshill Blvd
S59N6,Dollar Tree
URYEJ,Superior Plaza
7JOUO,9680
JARY2,US 98;US 319
BJ4CC,Bal Harbour Shops
84K3K,Seminole Towne Center
3LKGH,Heritage Walk
T5A1O,Saint George's Row
0YJ06,Wellington Mall
GQB7J,Grande Boulevard
BSDEG,Eagle Ridge Drive
XAA5I,Worth Avenue
0DUN6,Worth Avenue
SRBLD,Goodyear Auto Service Center
F6X1N,Thacker Avenue
QGJWV,Argyle Forest Boulevard
L7FA7,Santa Rosa Mall
IFO2T,Avenue G Southwest
ZMP8A,Mall of the Americas
NOK4P,Hunters Oak Drive
ESIKR,Promenade Square Drive
5VMFV,Hammocks Boulevard
36KBH,Southwest 169th Court
0K5F1,14790
KFJ59,Kendale Lakes Plaza
01TZE,Higate Square
P85CI,Great Clips TJ Maxx Plaza
N31RC,Southwest 59th Street
BA8UL,Southwest 42nd Street
2YOSQ,Panda Express
O43GN,Southwest 134th Avenue
BCJK2,Winn-Dixie
RW4M3,Skylake Mall
3HSNY,Bed Bath & Beyond
ZPSZ1,Northeast 163rd Street
O6YXR,9045
88YI3,13565
V653O,Grand Regency Boulevard
OG62R,Grand Regency Boulevard
940F9,Shops at Merrick Park
N4WSS,10063-1 Baymeadows Ap
0W812,Mattress Firm
YWS8L,Steele Street
QZ8DF,Spencer Drive
GIJD5,3913
G9ZQE,Publix
YUOSR,Palm Drive
82VPC,South Tamiami Trail
LOL9F,Sarasota Square Mall
67ZFM,Bliss Salon
H7XU0,Clark Road
4KNLV,Auburn Court
NH5S2,South Lockwood Ridge Road
VHT0C,Landings Boulevard
QUQNM,Versailles Street
DW0LX,Westfield Siesta Key
M51D5,Fruitville Road
G5PVH,East Hillsborough Avenue
P6I62,Hillsboro Plaza
UTM4W,Thonotosassa Road
KZWYQ,Sleepy Hill Road
I5MIV,Sharon Drive
E6P55,Maple Street
50N99,Plantation Square
QMW1P,dd's Discounts
DO2MA,Armstrong Boulevard
4T464,East Vine Street
OC6UE,Bronson Highway
DDFV3,Bronson Highway
NKQMI,Westgate Plaza
8ZZT7,US 98
XGFKZ,US 27
BWIO1,Woodstock Drive
N2X2W,Southchase Village
BZOBL,Shoppes of Oakbrook
KRGI2,Bluffs Square Shoppes
DWGJO,Sabal Palm Shopping Center
ESKC0,Collier Boulevard
1D0LK,324
G6G72,Shopping Center Drive
IXSY2,I 95
YVK0K,Colonial Promenade
GTN9V,Town Center at Boca Raton
EI82M,Mall at University Town Center
L2K3R,Paragon Ocean Walk 10
ADNGB,Colony Square Drive
KPMGP,Colony Boulevard
LUV00,Philips Highway
KZCED,Volusia Mall
RLTOO,Broadway's
74V1U,415
B6547,Hopewell Avenue
BYNQ5,East Alexander Street
9RAS3,James L Redman Parkway
8V5OS,East Alexander Street
HDBEX,James L Redman Parkway
NWTE0,Today's Male
A585M,Sunset Harbour Shops
YQBFT,James L Redman Parkway
OCNS0,Southwest 89th Lane
8II29,Gulf View Square Mall
PPFUV,Cordova Mall
3NFPE,Bartow Shopping Center
09HZM,Century 21
ABWAT,Brandon Center
UWR6J,Clayton Mall
R8ZGE,West Langford Drive
HICWB,Tampa Premium Outlets
HRS1X,Okeechobee Boulevard
BW03B,Westland Mall
B2E9F,Ultramont Mall
AXY1X,B&B Joint
IEYS0,West 1st Avenue
31C1O,Uleta Plaza
KRIYY,Lincoln Road Mall
XH9ZH,Canton Avenue
OAUOI,430
O0G0A,Indian River Mall
P1ABA,Southwest 91st Court
ZT1MS,Southwest 136th Street
MB7XJ,Southwest 135th Terrace
H93YU,Sunshine Park Mall
2O8PK,Centre of Tallahassee
MD35T,Altamonte Mall
XFTJB,Palm Plaza
53JLL,Tommy Hilfiger
PZSU5,Mattress Firm
6Y24X,Southwest 120th Street
34XBO,TJ Max
KXXBS,Community Drive
7X8PL,Old Military Trail
006OA,South Chillingworth Drive
VOFFO,Frank Street
6KWW8,The Big Apple Shopping Bazaar
IFOHB,Indian Rocks Road
506Y7,Murdock Plaza
J7GF8,Quesada Avenue
Y043K,5th Street Southwest
JGQFO,Governor's Square Mall
KYIFO,West Griflow Street
S0VL9,3878
0FH39,East Fowler Avenue
BYAUE,Providence Road
IVUU8,Tamiami Trail South
3QLN7,Immokalee Road
Q6SBG,International Plaza and Bay Street
F87UN,International Plaza and Bay Street
HZFX0,Corkscrew Village Lane
BNNE3,West Terry Street
E070R,93rd Avenue North
V696R,94th Avenue North
R27KW,Lake City Mall
1W2NA,Publix Liquors
QEBG8,Lake Gray Boulevard
6W5SJ,Lake Gray Boulevard
XWHFG,26th Street West
O0IDL,Lee's Alterations
EZ03X,Legendary Drive
4BYPK,Forsyth Road
QS1NO,Iglesia Cristiana lel Rebano
SK7O3,West Lancaster Road
DDGIG,Pino Gelato Cafe
SX9BZ,Patrol Road
IOM1P,Plaza del Sol
LPKZI,Sevilla Plaza
SSL5Z,Sand Lake Road
C5VEX,Sand Lake Road
HFR4O,Sand Lake Road
WUIWL,Sand Lake Road
FFJ62,Sand Lake Road
QN3M9,Sand Lake Road
