id_centros_entretenimiento,centros_entretenimiento,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,categorias,puntuacion_usuarios,analisis_sentimientos,url_del_negocio,anio,categoria_general,atributo,categoria,ranquing_por_usuario,url
R4QFT,9180,"Estero Park Commons Boulevard, The Estates at Estero River",rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,"33901, 33907",26.6409247,-81.8605575,Florida,,,,,2019,Entretenimiento,,,,
IDUJN,Outerlife Studios - Escape Room St Pete,1942 2nd Ave S,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Amusement Parks, Active Life, Escape Games, Arts & Entertainment",5,positivo,,2019,Entretenimiento,,,,
C0V2N,Titusville Mall,"Narvaez Drive, Titusville",T9Fb,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,MU07,Mims,32754,28.6655767,-80.8449828,Florida,,,,,2019,Entretenimiento,,,,
9H0SD,Shopping Plaza,"Mall Perimeter Drive, Clearwater Mall",TnXm,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,9EV3,San Petersburgo,"33701, 33713",27.7671271,-82.6384451,Florida,,,,,2019,Entretenimiento,,,,
KE4XA,Lakeshore Mall,"901, US Highway 27 North",01NG,Highlands,"33825, 33852, 33870",27.3688418,-81.2518833,17WO,Avon Park,33825,27.5958672,-81.5061862,Florida,,,,,2019,Entretenimiento,,,,
RQNPD,Publix,"5185, Ariva Boulevard",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
LNX58,Banana Republic,"7535, Southwest 88th Street",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
RQNPD,Publix,"19451, Cochran Boulevard",Flv3,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,BFIE,Placida,33946,26.8339094,-82.2624037,Florida,,,,,2019,Entretenimiento,,,,
I42H5,Sweets Plaza,"5135, International Drive",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
25SSL,Mobilezone,"20505, South Dixie Highway",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
HDUPM,The Florida Mall,"8001, South Orange Blossom Trail",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
MQ5TD,Lakeland Square Mall,"Mall Hill, Lakeland Square Mall",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
8AS1F,The Gardens Mall,"Gardens Mall, Palm Beach Gardens",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2019,Entretenimiento,,,,
YMZZZ,East Towne Center,"CR 455, Castle Hill",AEmq,Lake,"32757, 32778, 34748",28.702847,-81.7787021,K8M9,Astor,32102,29.1624801,-81.5253491,Florida,,,,,2019,Entretenimiento,,,,
3BKFT,The Shops at Wiregrass,"Legacy Boulevard, Wesley Chapel",A3xo,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,3JZK,Dade City,"33523, 33525",28.3647248,-82.1959178,Florida,,,,,2019,Entretenimiento,,,,
MNZIW,CMX Dolphin 19 & IMAX,"11471, Northwest 12th Street",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
F0BOW,Kings Highway,"Charlotte , Florida",Flv3,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,BFIE,Placida,33946,26.8339094,-82.2624037,Florida,,,,,2019,Entretenimiento,,,,
GY1YH,West Village Drive,"Carrollwood Village, Hillsborough",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
SLXJ1,Westfield Citrus Park,"Citrus Park Town Center Boulevard, Spivey",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
LEG59,Aleena Diamonds,"1700, Gateway Drive",T9Fb,Brevard,"32901, 32940, 32955",28.263933,-80.7214417,MU07,Mims,32754,28.6655767,-80.8449828,Florida,,,,,2019,Entretenimiento,,,,
7E20U,Pet City,2119 Collier Pkwy,OcUC,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,gRLr,Land O' Lakes,34639,28.2188992,-82.4575938,Florida,"Pets, Aquariums, Pet Stores, Active Life",3,positivo,,2019,Entretenimiento,,,,
A8GI9,Villagio Cinemas,11778 N Dale Mabry Hwy,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Nightlife, Pizza, Italian, Arts & Entertainment, Burgers, Restaurants, Lounges, Bars",3,positivo,,2019,Entretenimiento,,,,
04GTW,Barber Shop,"Brideway Avenue, Jacksonville",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2019,Entretenimiento,,,,
200OW,Town Square Center,"South Renellie Drive, Hanan Park",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
SK3O4,Pino Gelato Cafe,"Miracle Strip Parkway, Okaloosa",rK5s,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,1YJ4,Baker,32531,30.7971318,-86.681344,Florida,,,,,2019,Entretenimiento,,,,
ZNXHK,Patrol Road,"Jacksonville, Duval",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2019,Entretenimiento,,,,
7OOL3,Plaza del Sol,"3831, West Vine Street",pyYM,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,OJFG,Kenansville,34739,27.8764614,-80.9882554,Florida,,,,,2019,Entretenimiento,,,,
Y6VBA,Sevilla Plaza,"West Irlo Bronson Memorial Highway, Osceola",pyYM,Osceola,"34741, 34744, 34746",28.1019838,-81.0754657,OJFG,Kenansville,34739,27.8764614,-80.9882554,Florida,,,,,2019,Entretenimiento,,,,
9BTS0,Sand Lake Road,"Orange , Florida",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
ITD5Z,Maud Street,"Fisherman's Village, Punta Gorda",Flv3,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,BFIE,Placida,33946,26.8339094,-82.2624037,Florida,,,,,2019,Entretenimiento,,,,
I5A88,Legendary Drive,"Destin Commons, Okaloosa",rK5s,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,1YJ4,Baker,32531,30.7971318,-86.681344,Florida,,,,,2019,Entretenimiento,,,,
E33OB,Lee's Alterations,"South Orange Avenue, Pine Castle",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
SHAMZ,26th Street West,"Bayshore Gardens, Manatee",mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,"34205, 34208",27.4989278,-82.5748194,Florida,,,,,2019,Entretenimiento,,,,
8JNKT,Quesada Avenue,"Charlotte , Florida",Flv3,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,BFIE,Placida,33946,26.8339094,-82.2624037,Florida,,,,,2019,Entretenimiento,,,,
1XFVA,5th Street Southwest,"Winter Haven, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
C73OB,Governor's Square Mall,"1500, Apalachee Parkway",6dAC,Leon,"32301, 32308, 32312",30.4906177,-84.1857115,ML39,Tallahassee,"32301, 32303, 32308",30.4381828,-84.2806235,Florida,,,,,2019,Entretenimiento,,,,
N4UON,West Griflow Street,"Palma Ceia, Tampa",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
4HPOV,3878,"Britton Plaza, Palma Ceia",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
GRLAQ,East Fowler Avenue,"Tampa, Hillsborough",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
QL042,Providence Road,"Brandon, Hillsborough",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
53A0D,Tamiami Trail South,"Naples, Collier",V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,"34102, 34103",26.1420358,-81.7948103,Florida,,,,,2019,Entretenimiento,,,,
A6H1Q,West Lancaster Road,"Orange , Florida",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
O8901,University Village Shops,"19800, Village Center Drive",rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,"33901, 33907",26.6409247,-81.8605575,Florida,,,,,2019,Entretenimiento,,,,
MIPQ4,Iglesia Cristiana lel Rebano,"Dorris Drive, Tiffany Terrace",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
DVSEG,ALDI,"605, 10th Street East",mze2,Manatee,"34205, 34221, 34211",27.4799195,-82.345189,CQN2,Bradenton,"34205, 34208",27.4989278,-82.5748194,Florida,,,,,2019,Entretenimiento,,,,
T5LSN,Dollar Tree,"Crosshill Blvd, Oakleaf Town Center",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2019,Entretenimiento,,,,
81T7X,Superior Plaza,"Claude Avenue, Orange",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
32EF1,9680,"Argyle Forest Boulevard, Chimney Lakes",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2019,Entretenimiento,,,,
556GV,US 98;US 319,"Carrabelle, Franklin",FsIg,Franklin,"32320, 32322",29.7817695,-84.8567932,UQ21,Apalachicola,32320,29.7257675,-84.9832435,Florida,,,,,2019,Entretenimiento,,,,
NFR07,Bal Harbour Shops,"9700, Collins Avenue",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
4UGOY,Heritage Plaza,"Veterans Boulevard, Charlotte",Flv3,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,BFIE,Placida,33946,26.8339094,-82.2624037,Florida,,,,,2019,Entretenimiento,,,,
JB29O,Seminole Towne Center,"Towne Center Circle, Sanford",yJd3,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,XZBO,Altamonte Springs,"32701, 32714",28.6611089,-81.3656242,Florida,,,,,2019,Entretenimiento,,,,
N0CVB,Heritage Walk,"Treasury Street, Old City",oU90,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,SB9H,Elkton,32033,29.7829858,-81.4258833,Florida,,,,,2019,Entretenimiento,,,,
QJI53,Tour Boat Boarding,"Miamarina, HMS Bounty",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
R2CKV,Saint George's Row,"Spanish Street, Old City",oU90,St. Johns,"32080, 32082, 32084",29.9719419,-81.4278984,SB9H,Elkton,32033,29.7829858,-81.4258833,Florida,,,,,2019,Entretenimiento,,,,
H0WC5,Wellington Mall,"12794, Forest Hill Boulevard",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2019,Entretenimiento,,,,
NOVS5,Grande Boulevard,"West Palm Beach, Palm Beach",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2019,Entretenimiento,,,,
Z6YLI,Eagle Ridge Drive,"Lake Wales, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
I1PO0,Crosshill Blvd,"Oakleaf Town Center, Jacksonville",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2019,Entretenimiento,,,,
DVSEG,ALDI,"3705, Tampa Road",TnXm,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,9EV3,San Petersburgo,"33701, 33713",27.7671271,-82.6384451,Florida,,,,,2019,Entretenimiento,,,,
RQNPD,Publix,"11352, Williams Street",KWSo,Marion,"34470, 34481, 34488",29.2787765,-82.12784,32TL,Citra,33434,29.4119166,-82.1098156,Florida,,,,,2019,Entretenimiento,,,,
2D4UF,Avenue O Southwest,"Winter Haven, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
73KHN,Forsyth Road,"Orange , Florida",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
4W1MP,Old Middleburg Road South,"Jacksonville, Duval",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2019,Entretenimiento,,,,
IY6S8,Immokalee Road,"Four Seasons, Collier",V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,"34102, 34103",26.1420358,-81.7948103,Florida,,,,,2019,Entretenimiento,,,,
N5KRM,West Terry Street,"Highland Woods Golf & Country Club, Bonita Springs",rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,"33901, 33907",26.6409247,-81.8605575,Florida,,,,,2019,Entretenimiento,,,,
OFPH8,Market Square,"Zephyrhills, Pasco",A3xo,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,3JZK,Dade City,"33523, 33525",28.3647248,-82.1959178,Florida,,,,,2019,Entretenimiento,,,,
HHR4R,North Parsons Plaza,"West Morgan Street, Brandon",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
QLLE3,East Edgewood Drive,"Lakeland, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
PPX03,Brooks Street,"Dunnellon, Marion",KWSo,Marion,"34470, 34481, 34488",29.2787765,-82.12784,32TL,Citra,33434,29.4119166,-82.1098156,Florida,,,,,2019,Entretenimiento,,,,
TD2GQ,Southeast Plaza,"Avenue T Southeast, Winter Haven",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
V1TSS,Freeway Insurance,"6th Street Northwest, Winter Haven",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
X6RJ0,Webster Avenue,"Ravaudage Winter Park (0.25 mile radius), Winter Park",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
KNQHC,Orlando Avenue,"Winter Park, Orange",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
ZQZZH,Beachview Avenue,"Winter Park, Orange",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
14WES,KWIK Tax Refund,"Avenue I Northwest, Winter Haven",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
14IZC,Hudson,"Palatka, Putnam",yzpZ,Putnam,"32177, 32148, 32131",29.6265157,-81.7787021,SVR8,Crescent City,32112,29.4302514,-81.5106288,Florida,,,,,2019,Entretenimiento,,,,
CJ4KI,Kingston Drive East,"Morse Shores, Tice",rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,"33901, 33907",26.6409247,-81.8605575,Florida,,,,,2019,Entretenimiento,,,,
JO3KM,Village Square Shopping Center,"Deena Way, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
1G4ZA,Homestead Station,"4, West Mowry Drive",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
AO2A9,The Lighthouse Shoppes,"Dodecanese Boulevard, Tarpon Springs",TnXm,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,9EV3,San Petersburgo,"33701, 33713",27.7671271,-82.6384451,Florida,,,,,2019,Entretenimiento,,,,
HIIPF,South Valrico Road,"Brandon, Hillsborough",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
UBN33,Mirror Terrace Northwest,"Winter Haven, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
WOCZW,Pierre Lane,"Zephyrhills, Pasco",A3xo,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,3JZK,Dade City,"33523, 33525",28.3647248,-82.1959178,Florida,,,,,2019,Entretenimiento,,,,
39KDL,Corkscrew Village Lane,"Meadows of Estero, Lee",rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,"33901, 33907",26.6409247,-81.8605575,Florida,,,,,2019,Entretenimiento,,,,
HS5U2,Palm Beach Boulevard,"Fort Myers, Lee",rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,"33901, 33907",26.6409247,-81.8605575,Florida,,,,,2019,Entretenimiento,,,,
NEVTW,Poinsettia Drive,"Mount Dora, Lake",AEmq,Lake,"32757, 32778, 34748",28.702847,-81.7787021,K8M9,Astor,32102,29.1624801,-81.5253491,Florida,,,,,2019,Entretenimiento,,,,
2PN3B,93rd Avenue North,"Collier , Florida",V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,"34102, 34103",26.1420358,-81.7948103,Florida,,,,,2019,Entretenimiento,,,,
RAVKX,94th Avenue North,"Naples Park, Collier",V1oO,Collier,"34102, 34112, 34120",26.069985,-81.4278984,R3EM,Naples,"34102, 34103",26.1420358,-81.7948103,Florida,,,,,2019,Entretenimiento,,,,
YEVT6,Lake City Mall,"2427, West US Highway 90",fHgv,Columbia,"32024, 32025, 32055",30.1812696,-82.605118,70VM,Lake City,"32024, 32025",30.1893883,-82.6394016,Florida,,,,,2019,Entretenimiento,,,,
90POR,Publix Liquors,"3941, Tamiami Trail",Flv3,Charlotte,"33948, 33952, 33981",26.8946009,-81.909826,BFIE,Placida,33946,26.8339094,-82.2624037,Florida,,,,,2019,Entretenimiento,,,,
LJTGP,Lake Gray Boulevard,"Jacksonville, Duval",IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,"32202, 32207, 32210",30.3321838,-81.655651,Florida,,,,,2019,Entretenimiento,,,,
OXP5C,International Plaza and Bay Street,"International Plaza, Cornerstone Plaza",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
JJ6WS,Wekiwa Springs Road,"Orange , Florida",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
DXA7Q,Westshore Plaza Mall,"250, North Sherrill Street",uHNL,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,W2W7,Brandon,"33510, 33511",27.937801,-82.2859247,Florida,,,,,2019,Entretenimiento,,,,
RQNPD,Publix,"5998, Mobile Highway",yT3Z,Escambia,"32501, 32506, 32514",30.6389408,-87.3413599,YOYE,Pensacola,"32501, 32503",30.421309,-87.2169149,Florida,,,,,2019,Entretenimiento,,,,
R69E6,Pin Chasers,4847 N Armenia Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Amusement Parks, Active Life, Venues & Event Spaces, Event Planning & Services, Nightlife, Bowling, Bars, Leisure Centers, Recreation Centers, Sports Bars",4,positivo,,2019,Entretenimiento,,,,
FWOXB,Federal Highway,"Boca Raton, Palm Beach",WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,"33401, 33409, 33417",26.7144532,-80.0549456,Florida,,,,,2019,Entretenimiento,,,,
6E6MD,Post Avenue Southwest,"Winter Haven, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
B659V,Grove Avenue,"Haines City, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
ZAIUP,17th Street,"Haines City, Polk",bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,"33801, 33813",28.0394654,-81.9498042,Florida,,,,,2019,Entretenimiento,,,,
FAUYZ,Ocooee Plaza,"Franklin Street, Ocoee",lomP,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,20SI,Apopka,"32703, 32712",28.6934076,-81.5322149,Florida,,,,,2019,Entretenimiento,,,,
ARVQ6,McDonald Terrace,"Oakland Park, Lake",AEmq,Lake,"32757, 32778, 34748",28.702847,-81.7787021,K8M9,Astor,32102,29.1624801,-81.5253491,Florida,,,,,2019,Entretenimiento,,,,
EUDSA,Brickell Smoke Shop,"13, Southwest 7th Street",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
L8DEV,Reynolds Street,"Arcadia, DeSoto",nlCy,DeSoto,"34266, 34269",27.2142078,-81.7787021,UTEY,Arcadia,34266,27.2158826,-81.8584164,Florida,,,,,2019,Entretenimiento,,,,
IJJY5,What's In Your Tank,2408 Land O' Lakes Blvd,OcUC,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,gRLr,Land O' Lakes,34639,28.2188992,-82.4575938,Florida,"Aquarium Services, Pet Stores, Pet Services, Pets, Local Fish Stores",3,positivo,,2019,Entretenimiento,,,,
UCUR4,Southwest 169th Court,"Shoppes of Paradise Lakes, Miami-Dade",gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,"33012, 33014",25.8575963,-80.2781057,Florida,,,,,2019,Entretenimiento,,,,
S6QXC,Xscape Theatres - Riverview 14,6135 Valleydale Dr,bXLF,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,TC12,Riverview,"33578, 33579",27.8661364,-82.3264809,Florida,"Arts & Entertainment, Cinema",4,positivo,,2019,Entretenimiento,,,,
S631W,AMC Sundial 12,151 2nd Ave North,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Cinema, Arts & Entertainment",3.5,positivo,,2019,Entretenimiento,,,,
Z17IH,AMC Highwoods 20,18002 Highwoods Preserve Parkway,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",3,positivo,,2019,Entretenimiento,,,,
GOKPD,AMC Classic Palm Harbor 10,37912 Us Highway 19 N,Zhuo,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,IKXB,Palm Harbor,"34683, 34684",28.0780718,-82.7637127,Florida,"Cinema, Dinner Theater, Arts & Entertainment, Restaurants",3,negativo,,2019,Entretenimiento,,,,
2M0XU,AMC Classic Centro Ybor 10,1600 E 8th Ave,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,"33602, 33611, 33647",27.9516896,-82.4587527,Florida,"Cinema, Arts & Entertainment",3.5,positivo,,2019,Entretenimiento,,,,
T4X8Y,A & R Aquariums,9645 Bay Pines Blvd,vV1W,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,KOLOGC,Saint Petersburg,33701,27.7671271,-82.6384451,Florida,"Pet Services, Local Fish Stores, Pet Stores, Pets, Aquarium Services, Aquariums, Active Life",5,positivo,,2019,Entretenimiento,,,,
